Year,Series,concept.REF_AREA,Units,Value
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,58.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,62.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,48.0
2010,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,9.0
2011,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,8.2
2012,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,7.6
2013,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,5.5
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,5.5
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,4.7
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,3.5
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,4.8
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,3.0
2010,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,77.0
2011,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,72.0
2012,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,68.0
2013,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,50.0
